Saccharomyces cerevisiae,Rhodosporidium toruloides,CS,EL,Trees,phylome,ensembl,orthomcl,treefam,eggnog,hogenom
YDL084W,RHTO_02446,1,2,13,1.00/12,,,,,
YDR168W,RHTO_06757,1,2,3,1.00/2,,,,,
YPR185W,RHTO_02383,1,1,1,,,,,,
YBL037W,RHTO_01190,1,2,5,1.00/4,,,,,
YKR024C,RHTO_00899,1,2,3,1.00/2,,,,,
YIR023W,RHTO_01297,1,1,2,1.00/2,,,,,
YOL055C,RHTO_03810,1,2,3,1.00/2,,,,,
YPR049C,RHTO_00852,1,1,1,,,,,,
YCL055W,RHTO_04035,1,2,3,1.00/2,,,,,
YLL031C,RHTO_04838,1,2,3,1.00/2,,,,,
YMR062C,RHTO_05134,1,2,3,1.00/2,,,,,
YFL018C,RHTO_07893,0.6,2,5,0.50/4,,,,,
YJL061W,RHTO_07274,1,1,2,1.00/2,,,,,
YKL099C,RHTO_03542,1,1,1,,,,,,
YBR254C,RHTO_06984,1,2,3,1.00/2,,,,,
YGR005C,RHTO_01509,1,2,3,1.00/2,,,,,
YPL043W,RHTO_07369,1,1,2,1.00/2,,,,,
YPL264C,RHTO_04899,1,2,3,1.00/2,,,,,
YLR377C,RHTO_03046,1,2,3,1.00/2,,,,,
YEL050C,RHTO_00116,1,2,3,1.00/2,,,,,
YDR408C,RHTO_01888,1,2,3,1.00/2,,,,,
YGR193C,RHTO_01754,1,2,3,1.00/2,,,,,
YNR034W,RHTO_07939,0.667,1,3,1.00/2,,,,,
YMR074C,RHTO_00378,1,2,3,1.00/2,,,,,
YMR322C,RHTO_04781,1,1,2,1.00/2,,,,,
YPL247C,RHTO_03935,1,2,3,1.00/2,,,,,
YFL029C,RHTO_07490,1,1,1,,,,,,
YKR051W,RHTO_01342,1,2,3,1.00/2,,,,,
YOR274W,RHTO_00537,0.667,1,3,1.00/2,,,,,
YLR077W,RHTO_02721,1,1,1,,,,,,
YJL069C,RHTO_08161,1,2,3,1.00/2,,,,,
YFL047W,RHTO_04982,1,1,1,,,,,,
YPR105C,RHTO_00406,1,2,3,1.00/2,,,,,
YOL128C,RHTO_06863,1,1,1,,,,,,
YOL069W,RHTO_00175,1,2,3,1.00/2,,,,,
YNL302C,RHTO_05130,1,2,3,1.00/2,,,,,
YGR207C,RHTO_07748,1,2,3,1.00/2,,,,,
YDL006W,RHTO_01309,1,2,3,1.00/2,,,,,
YNL172W,RHTO_03379,1,2,3,1.00/2,,,,,
YOR243C,RHTO_04715,1,2,3,1.00/2,,,,,
YER100W,RHTO_02740,0.5,1,4,0.50/4,,,,,
YIL159W,RHTO_02450,1,1,1,,,,,,
YKL026C,RHTO_00225,1,2,3,1.00/2,,,,,
YNR072W,RHTO_00630,0.923,1,13,1.00/12,,,,,
YDR013W,RHTO_03804,1,2,3,1.00/2,,,,,
YKR081C,RHTO_03177,1,2,3,1.00/2,,,,,
YMR296C,RHTO_06834,0.6,2,5,0.50/4,,,,,
YFL046W,RHTO_05643,1,2,3,1.00/2,,,,,
YIL114C,RHTO_07648,1,2,3,1.00/2,,,,,
YDR028C,RHTO_00761,1,1,1,,,,,,
YLR344W,RHTO_02455,1,2,3,1.00/2,,,,,
YHR128W,RHTO_01067,1,2,3,1.00/2,,,,,
YBR121C,RHTO_03126,0.667,1,3,1.00/2,,,,,
YJL111W,RHTO_05883,1,2,19,1.00/18,,,,,
YDR107C,RHTO_06146,1,1,1,,,,,,
YDL033C,RHTO_03014,0.667,1,3,1.00/2,,,,,
YGR227W,RHTO_06398,1,1,1,,,,,,
YER017C,RHTO_05017,1,2,3,1.00/2,,,,,
YPL026C,RHTO_03679,1,1,2,1.00/2,,,,,
YDR248C,RHTO_02661,1,2,3,1.00/2,,,,,
YGR171C,RHTO_03139,1,2,3,1.00/2,,,,,
YLR034C,RHTO_05233,1,2,3,1.00/2,,,,,
YLR209C,RHTO_05997,1,2,3,1.00/2,,,,,
YNL272C,RHTO_07026,1,1,1,,,,,,
YAR018C,RHTO_06230,1,2,3,1.00/2,,,,,
YDR232W,RHTO_02047,0.8,1,5,1.00/4,,,,,
YLR319C,RHTO_05049,1,2,3,1.00/2,,,,,
YHR012W,RHTO_08096,1,1,1,,,,,,
YDR399W,RHTO_04846,1,2,3,1.00/2,,,,,
YGL157W,RHTO_03406,0.667,1,6,0.67/6,,,,,
YNL088W,RHTO_06677,1,2,3,1.00/2,,,,,
YBR039W,RHTO_06048,1,2,3,1.00/2,,,,,
YLR056W,RHTO_05229,0.667,1,3,1.00/2,,,,,
YFR027W,RHTO_05762,1,1,2,1.00/2,,,,,
YHR032W,RHTO_01471,1,1,2,1.00/2,,,,,
YGL116W,RHTO_06887,1,2,7,1.00/6,,,,,
YML102W,RHTO_07921,1,2,3,1.00/2,,,,,
YML073C,RHTO_05517,1,2,5,1.00/4,,,,,
YOL039W,RHTO_02175,1,2,3,1.00/2,,,,,
YJR008W,RHTO_01677,1,2,3,1.00/2,,,,,
YDR505C,RHTO_08074,1,2,3,1.00/2,,,,,
YGR285C,RHTO_06807,0.667,1,3,1.00/2,,,,,
YKR018C,RHTO_06940,1,2,3,1.00/2,,,,,
YDL043C,RHTO_01086,1,2,3,1.00/2,,,,,
YDR407C,RHTO_06347,1,1,1,,,,,,
YDR039C,RHTO_03868,1,2,13,1.00/12,,,,,
YMR034C,RHTO_04455,1,1,1,,,,,,
YDR072C,RHTO_06200,1,1,1,,,,,,
YBL072C,RHTO_08150,1,2,4,1.00/2,1.00/2,,,,
YJR119C,RHTO_03013,1,1,1,,,,,,
YMR224C,RHTO_05156,1,2,3,1.00/2,,,,,
YGL148W,RHTO_05784,1,2,3,1.00/2,,,,,
YER049W,RHTO_03826,1,2,3,1.00/2,,,,,
YER042W,RHTO_00199,1,2,3,1.00/2,,,,,
YDR074W,RHTO_06117,1,2,5,1.00/4,,,,,
YER007C-A,RHTO_06450,1,2,3,1.00/2,,,,,
YPR173C,RHTO_01249,0.8,2,5,0.75/4,,,,,
YHL035C,RHTO_05437,1,1,16,1.00/16,,,,,
YEL065W,RHTO_01307,1,2,7,1.00/6,,,,,
YOR184W,RHTO_03027,1,2,3,1.00/2,,,,,
YPL259C,RHTO_01460,0.714,2,7,0.67/6,,,,,
YPL117C,RHTO_05138,1,2,3,1.00/2,,,,,
YMR061W,RHTO_07268,0.667,1,3,1.00/2,,,,,
YJL057C,RHTO_04077,1,2,3,1.00/2,,,,,
YCL038C,RHTO_06993,1,2,3,1.00/2,,,,,
YDR394W,RHTO_06852,1,2,15,1.00/14,,,,,
YDR019C,RHTO_01709,1,1,2,1.00/2,,,,,
YLR115W,RHTO_07778,1,2,3,1.00/2,,,,,
YFL027C,RHTO_02295,1,1,1,,,,,,
YMR012W,RHTO_05090,1,2,3,1.00/2,,,,,
YGR097W,RHTO_06926,1,2,3,1.00/2,,,,,
YHR175W,RHTO_01723,1,1,1,,,,,,
YMR078C,RHTO_01132,1,1,1,,,,,,
YKL095W,RHTO_03520,1,2,3,1.00/2,,,,,
YLR208W,RHTO_02528,1,2,5,1.00/4,,,,,
YNL090W,RHTO_07420,1,2,11,1.00/10,,,,,
YPR183W,RHTO_06635,1,2,3,1.00/2,,,,,
YGL040C,RHTO_04450,1,2,3,1.00/2,,,,,
YNL175C,RHTO_01063,1,2,3,1.00/2,,,,,
YOR124C,RHTO_05027,1,1,1,,,,,,
YML079W,RHTO_03467,1,1,1,,,,,,
YGL244W,RHTO_02274,1,2,3,1.00/2,,,,,
YGR163W,RHTO_01688,0.6,2,5,0.50/4,,,,,
YNR052C,RHTO0S_02e05424g,1,2,3,1.00/2,,,,,
YDL090C,RHTO_06679,0.714,2,7,0.67/6,,,,,
YIR008C,RHTO_00690,1,2,3,1.00/2,,,,,
YLR305C,RHTO_02780,1,2,3,1.00/2,,,,,
YEL006W,RHTO_07590,1,2,29,1.00/28,,,,,
YHL017W,RHTO_01033,1,2,3,1.00/2,,,,,
YOR063W,RHTO_07954,1,2,3,1.00/2,,,,,
YNL242W,RHTO_01885,1,1,1,,,,,,
YOR038C,RHTO_02336,1,1,2,1.00/2,,,,,
YHR039C-A,RHTO_02149,1,2,3,1.00/2,,,,,
YKL028W,RHTO_00823,1,2,3,1.00/2,,,,,
YPL214C,RHTO_05129,1,2,3,1.00/2,,,,,
YPL140C,RHTO_06977,1,2,11,1.00/10,,,,,
YPR115W,RHTO_06926,1,2,3,1.00/2,,,,,
YNL127W,RHTO_04479,1,1,1,,,,,,
YDR142C,RHTO_05659,1,2,3,1.00/2,,,,,
YLR002C,RHTO_04580,1,1,1,,,,,,
YJR116W,RHTO_00610,1,2,5,1.00/4,,,,,
YMR192W,RHTO_05427,0.667,2,3,0.50/2,,,,,
YDL137W,RHTO0S_09e03466g,1,2,15,1.00/14,,,,,
YOR326W,RHTO_00557,1,2,9,1.00/8,,,,,
YMR018W,RHTO_07824,0.667,1,3,1.00/2,,,,,
YBL041W,RHTO_07436,1,2,5,1.00/4,,,,,
YJL190C,RHTO0S_06e05842g,0.667,1,3,1.00/2,,,,,
YMR271C,RHTO_03695,0.8,2,5,0.75/4,,,,,
YCR068W,RHTO_00361,1,2,3,1.00/2,,,,,
YGL110C,RHTO_00676,1,1,1,,,,,,
YOR283W,RHTO_07535,0.5,1,4,0.50/4,,,,,
YDR311W,RHTO_06314,1,2,3,1.00/2,,,,,
YPL183W-A,RHTO_01596,1,1,2,1.00/2,,,,,
YNL313C,RHTO_06719,1,2,3,1.00/2,,,,,
YPL216W,RHTO_01644,1,1,1,,,,,,
YGR032W,RHTO_05280,1,1,4,1.00/4,,,,,
YFL045C,RHTO_04193,1,2,3,1.00/2,,,,,
YNL274C,RHTO_05831,0.714,2,7,0.67/6,,,,,
YNL093W,RHTO_04660,0.857,1,14,0.86/14,,,,,
YMR129W,RHTO_00186,1,2,3,1.00/2,,,,,
YOL064C,RHTO_03653,1,2,3,1.00/2,,,,,
YBR120C,RHTO_05329,1,1,2,1.00/2,,,,,
YCL073C,RHTO_01307,1,2,7,1.00/6,,,,,
YPL053C,RHTO_03276,0.75,1,4,0.75/4,,,,,
YHR030C,RHTO_02374,1,2,19,1.00/18,,,,,
YCR019W,RHTO_02474,1,2,3,1.00/2,,,,,
YKL085W,RHTO_04363,0.8,1,5,1.00/4,,,,,
YGL153W,RHTO_03661,1,2,3,1.00/2,,,,,
YJR073C,RHTO_03783,1,2,3,1.00/2,,,,,
YDL127W,RHTO_03715,1,1,1,,,,,,
YLL001W,RHTO_05705,1,2,5,1.00/4,,,,,
YNL330C,RHTO_07240,1,2,7,1.00/6,,,,,
YDR328C,RHTO_00314,1,2,3,1.00/2,,,,,
YJR019C,RHTO0S_02e05754g,1,1,1,,,,,,
YPR032W,RHTO_00138,1,1,1,,,,,,
YNL005C,RHTO_00230,1,2,3,1.00/2,,,,,
YCR090C,RHTO_07108,1,2,3,1.00/2,,,,,
YDL195W,RHTO_05075,1,2,3,1.00/2,,,,,
YGL194C,RHTO_02681,1,2,7,1.00/6,,,,,
YML086C,RHTO_01742,1,2,3,1.00/2,,,,,
YHR089C,RHTO_00062,1,2,3,1.00/2,,,,,
YOR070C,RHTO_03955,1,2,3,1.00/2,,,,,
YDR530C,RHTO_02552,0.667,1,3,1.00/2,,,,,
YDR083W,RHTO_02466,1,2,3,1.00/2,,,,,
YJL012C,RHTO_01603,1,2,3,1.00/2,,,,,
YER094C,RHTO_06158,1,2,5,1.00/4,,,,,
YJL060W,RHTO_07353,1,2,7,1.00/6,,,,,
YER178W,RHTO_01852,1,2,3,1.00/2,,,,,
YHR107C,RHTO_04519,1,2,11,1.00/10,,,,,
YBR018C,RHTO_06405,1,2,3,1.00/2,,,,,
YKL135C,RHTO_03305,1,1,6,1.00/6,,,,,
YBR006W,RHTO_02062,1,1,16,1.00/16,,,,,
YPR178W,RHTO_00760,0.857,1,7,1.00/6,,,,,
YDR436W,RHTO_06595,0.917,1,12,0.92/12,,,,,
YOR321W,RHTO_07144,1,2,7,1.00/6,,,,,
YLR249W,RHTO_02697,1,2,11,1.00/10,,,,,
YLR397C,RHTO_00360,1,2,23,1.00/22,,,,,
YNL284C,RHTO_00410,1,2,3,1.00/2,,,,,
YDR017C,RHTO_03948,1,1,1,,,,,,
YGL055W,RHTO_03911,1,1,2,1.00/2,,,,,
YPL050C,RHTO_01438,1,1,1,,,,,,
YLL005C,RHTO_00826,1,2,3,1.00/2,,,,,
YDR188W,RHTO_07904,0.789,2,19,0.78/18,,,,,
YIL085C,RHTO_03938,1,1,4,1.00/4,,,,,
YJR144W,RHTO_04912,1,2,3,1.00/2,,,,,
YIL051C,RHTO_04414,1,1,2,1.00/2,,,,,
YGL216W,RHTO_04728,1,2,5,1.00/4,,,,,
YJL005W,RHTO_06310,1,2,3,1.00/2,,,,,
YJL041W,RHTO_07356,1,1,1,,,,,,
YGR061C,RHTO_02389,1,2,3,1.00/2,,,,,
YDL132W,RHTO_07439,1,2,5,1.00/4,,,,,
YDR465C,RHTO_05710,1,2,3,1.00/2,,,,,
YGL253W,RHTO_06072,1,1,4,1.00/4,,,,,
YLL045C,RHTO_03968,1,2,5,1.00/4,,,,,
YJL200C,RHTO_08030,1,2,9,1.00/8,,,,,
YLR383W,RHTO_03556,1,1,4,1.00/4,,,,,
YER089C,RHTO_07607,1,2,7,1.00/6,,,,,
YPR163C,RHTO_04281,1,2,3,1.00/2,,,,,
YNL092W,RHTO_05909,0.667,1,3,1.00/2,,,,,
YJR093C,RHTO_00372,1,1,1,,,,,,
YNR008W,RHTO_01945,1,2,3,1.00/2,,,,,
YAL003W,RHTO_07843,1,2,3,1.00/2,,,,,
YHR117W,RHTO_04563,0.6,2,5,0.50/4,,,,,
YJL050W,RHTO_01506,0.571,2,7,0.50/6,,,,,
YKL190W,RHTO_01300,0.556,2,9,0.50/8,,,,,
YDL097C,RHTO_06611,1,1,2,1.00/2,,,,,
YGR145W,RHTO_07015,1,2,3,1.00/2,,,,,
YGL143C,RHTO_01401,1,2,3,1.00/2,,,,,
YDR035W,RHTO_02272,0.5,1,4,0.50/4,,,,,
YBR220C,RHTO_07603,1,2,3,1.00/2,,,,,
YAR003W,RHTO_06803,1,2,3,1.00/2,,,,,
YGR002C,RHTO_02622,1,2,3,1.00/2,,,,,
YLR197W,RHTO_06818,1,2,5,1.00/4,,,,,
YEL016C,RHTO_08073,1,1,1,,,,,,
YML124C,RHTO_07708,0.818,2,11,0.80/10,,,,,
YOR236W,RHTO_02268,1,2,3,1.00/2,,,,,
YDR419W,RHTO_02386,1,2,3,1.00/2,,,,,
YHR166C,RHTO_03846,1,2,3,1.00/2,,,,,
YGL099W,RHTO_00955,1,2,5,1.00/4,,,,,
YKR053C,RHTO_04435,1,2,3,1.00/2,,,,,
YLR114C,RHTO_05363,1,2,3,1.00/2,,,,,
YNL144C,RHTO_00741,1,1,1,,,,,,
YOL092W,RHTO_02539,1,1,2,1.00/2,,,,,
YJL140W,RHTO_02021,1,1,1,,,,,,
YLR270W,RHTO_06339,1,2,3,1.00/2,,,,,
YLL023C,RHTO_01260,1,2,3,1.00/2,,,,,
YDR373W,RHTO_04987,0.857,2,7,0.83/6,,,,,
YKL120W,RHTO_00349,1,2,3,1.00/2,,,,,
YKR003W,RHTO_05343,1,2,5,1.00/4,,,,,
YMR230W,RHTO_00354,1,2,5,1.00/4,,,,,
YNL183C,RHTO_05632,1,2,3,1.00/2,,,,,
YHR038W,RHTO_05242,1,1,2,1.00/2,,,,,
YFL030W,RHTO_05191,1,2,3,1.00/2,,,,,
YDR531W,RHTO_03483,1,2,3,1.00/2,,,,,
YOL107W,RHTO_00923,1,1,1,,,,,,
YGL232W,RHTO_01664,1,2,3,1.00/2,,,,,
YEL012W,RHTO_03762,0.667,1,12,0.67/12,,,,,
YDL208W,RHTO_07729,0.6,2,5,0.50/4,,,,,
YOR291W,RHTO_05996,0.8,1,5,1.00/4,,,,,
YJL141C,RHTO_06313,1,2,7,1.00/6,,,,,
YNL247W,RHTO_07717,0.667,1,3,1.00/2,,,,,
YGL076C,RHTO_03965,1,2,3,1.00/2,,,,,
YDR307W,RHTO_02130,1,1,2,1.00/2,,,,,
YKR063C,RHTO_07463,1,2,3,1.00/2,,,,,
YMR083W,RHTO_03062,1,2,13,1.00/12,,,,,
YNL332W,RHTO_04330,1,2,3,1.00/2,,,,,
YJL002C,RHTO_03842,1,2,3,1.00/2,,,,,
YOL011W,RHTO_04785,1,2,3,1.00/2,,,,,
YML030W,RHTO_05853,1,1,1,,,,,,
YBL016W,RHTO_03489,0.5,1,2,0.50/2,,,,,
YOL098C,RHTO_04843,1,2,3,1.00/2,,,,,
YGL185C,RHTO_01514,0.5,1,4,0.50/4,,,,,
YPL094C,RHTO_00637,1,2,3,1.00/2,,,,,
YOR299W,RHTO_06630,0.667,1,3,1.00/2,,,,,
YOL124C,RHTO_05743,1,2,3,1.00/2,,,,,
YOR151C,RHTO_00878,0.714,2,7,0.67/6,,,,,
YKL205W,RHTO_05498,1,2,3,1.00/2,,,,,
YDR352W,RHTO_03007,1,1,1,,,,,,
YMR242C,RHTO0S_19e00606g,0.5,1,4,1.00/2,0.00/2,,,,
YOR036W,RHTO_05385,1,1,2,1.00/2,,,,,
YML106W,RHTO_03695,1,2,5,1.00/4,,,,,
YDR425W,RHTO_04181,1,2,3,1.00/2,,,,,
YCR059C,RHTO_01302,0.5,1,2,0.50/2,,,,,
YDR471W,RHTO0S_06e04500g,1,2,3,1.00/2,,,,,
YKR066C,RHTO_06193,1,1,2,1.00/2,,,,,
YLR418C,RHTO_06420,1,2,3,1.00/2,,,,,
YDL028C,RHTO_02182,1,2,3,1.00/2,,,,,
YGL130W,RHTO_00313,0.667,1,3,1.00/2,,,,,
YJR031C,RHTO_01737,0.667,1,3,1.00/2,,,,,
YAL019W,RHTO_06101,1,2,13,1.00/12,,,,,
YBL091C,RHTO_00470,0.6,2,5,0.50/4,,,,,
YOR261C,RHTO_01790,0.6,2,5,0.50/4,,,,,
YNL246W,RHTO_01562,1,1,2,1.00/2,,,,,
YLR262C,RHTO_02821,0.833,1,30,0.83/30,,,,,
YGR040W,RHTO_05814,0.935,2,31,0.93/30,,,,,
YMR143W,RHTO_05447,0.75,2,4,0.50/2,1.00/2,,,,
YCR027C,RHTO_06749,1,2,9,1.00/8,,,,,
YJL072C,RHTO_07167,1,2,3,1.00/2,,,,,
YOL021C,RHTO_01684,1,2,5,1.00/4,,,,,
YEL061C,RHTO_06593,0.556,2,9,0.50/8,,,,,
YIR033W,RHTO_07806,0.667,1,3,1.00/2,,,,,
YKL216W,RHTO_06990,1,1,1,,,,,,
YKL069W,RHTO_03089,1,2,3,1.00/2,,,,,
YPL040C,RHTO_03176,0.714,2,7,0.67/6,,,,,
YNL305C,RHTO_04397,1,2,3,1.00/2,,,,,
YOR119C,RHTO_07754,1,2,3,1.00/2,,,,,
YDR365C,RHTO_08018,1,2,3,1.00/2,,,,,
YNL232W,RHTO_01045,1,2,3,1.00/2,,,,,
YER129W,RHTO_00257,1,1,1,,,,,,
YLR046C,RHTO_02343,1,1,1,,,,,,
YLR071C,RHTO_06356,1,1,1,,,,,,
YBR089C-A,RHTO_03328,0.667,2,3,0.50/2,,,,,
YHR113W,RHTO_05571,1,2,3,1.00/2,,,,,
YNR050C,RHTO_03324,0.667,1,3,1.00/2,,,,,
YPL109C,RHTO_03601,1,2,3,1.00/2,,,,,
YML120C,RHTO_07075,1,1,2,1.00/2,,,,,
YLL036C,RHTO_04377,0.5,1,2,0.50/2,,,,,
YKR050W,RHTO_04767,1,1,1,,,,,,
YDL008W,RHTO_07892,0.6,2,5,0.50/4,,,,,
YNL273W,RHTO_00132,1,2,3,1.00/2,,,,,
YDR497C,RHTO_00839,1,2,13,1.00/12,,,,,
YPL001W,RHTO_02965,1,2,3,1.00/2,,,,,
YKR055W,RHTO_02757,1,1,10,1.00/10,,,,,
YOR100C,RHTO_01354,1,2,17,1.00/16,,,,,
YPL082C,RHTO_00343,1,2,15,1.00/14,,,,,
YPR144C,RHTO_02261,1,2,3,1.00/2,,,,,
YBL067C,RHTO_00334,1,1,2,1.00/2,,,,,
YKR031C,RHTO_05769,1,1,2,1.00/2,,,,,
YOR054C,RHTO_07357,1,1,1,,,,,,
YKR043C,RHTO_05036,1,2,5,1.00/4,,,,,
YDR343C,RHTO_00630,0.909,1,11,1.00/10,,,,,
YPR062W,RHTO_07998,0.667,1,3,1.00/2,,,,,
YER075C,RHTO_07962,1,1,2,1.00/2,,,,,
YMR229C,RHTO_00947,1,2,3,1.00/2,,,,,
YKL013C,RHTO_06227,1,2,3,1.00/2,,,,,
YNL139C,RHTO_07011,1,2,3,1.00/2,,,,,
YJL164C,RHTO_02603,1,2,19,1.00/18,,,,,
YGR074W,RHTO_05621,1,2,3,1.00/2,,,,,
YNL218W,RHTO_02126,1,2,3,1.00/2,,,,,
YLL002W,RHTO_04354,1,1,1,,,,,,
YER151C,RHTO_01844,1,2,3,1.00/2,,,,,
YDR510W,RHTO_04546,1,1,2,1.00/2,,,,,
YBR034C,RHTO_05715,0.714,2,7,0.67/6,,,,,
YDR358W,RHTO_04118,1,1,1,,,,,,
YHR001W,RHTO_05343,1,2,5,1.00/4,,,,,
YJL094C,RHTO_04988,1,1,2,1.00/2,,,,,
YCR073C,RHTO_07372,1,2,3,1.00/2,,,,,
YJL168C,RHTO_03333,1,2,3,1.00/2,,,,,
YNL301C,RHTO_04116,1,1,2,,1.00/2,,,,
YBL105C,RHTO_07627,1,2,7,1.00/6,,,,,
YCR063W,RHTO_07245,1,2,3,1.00/2,,,,,
YLR308W,RHTO_07259,0.714,2,7,0.67/6,,,,,
YDR402C,RHTO_00381,1,1,2,1.00/2,,,,,
YOL135C,RHTO_03647,1,1,2,1.00/2,,,,,
YMR182C,RHTO_02693,1,1,1,,,,,,
YDL004W,RHTO_06057,1,2,3,1.00/2,,,,,
YDL029W,RHTO_03919,1,2,13,1.00/12,,,,,
YAL022C,RHTO_06628,1,2,3,1.00/2,,,,,
YJR148W,RHTO_08045,0.667,2,3,0.50/2,,,,,
YLR066W,RHTO_03381,1,2,3,1.00/2,,,,,
YJL222W,RHTO_05663,1,1,1,,,,,,
YFL033C,RHTO_04687,0.667,1,3,1.00/2,,,,,
YGL171W,RHTO_04290,0.8,1,5,1.00/4,,,,,
YGL093W,RHTO_04151,1,1,1,,,,,,
YMR023C,RHTO_05250,1,2,3,1.00/2,,,,,
YGR020C,RHTO0S_02e08064g,1,2,3,1.00/2,,,,,
#N/A,RHTO_05798,1,1,1,,,,,,
YHR114W,RHTO_04294,1,1,1,,,,,,
YDL161W,RHTO_04670,1,1,1,,,,,,
YKR009C,RHTO_06581,0.857,1,7,1.00/6,,,,,
YOR250C,RHTO_01369,1,2,3,1.00/2,,,,,
YER070W,RHTO_06445,0.667,1,3,1.00/2,,,,,
YIL010W,RHTO_02385,1,1,1,,,,,,
YAL002W,RHTO_04456,1,2,3,1.00/2,,,,,
YPL086C,RHTO_02812,1,2,3,1.00/2,,,,,
YPR137W,RHTO_07049,1,2,3,1.00/2,,,,,
YPR001W,RHTO_06406,1,1,2,1.00/2,,,,,
YIR038C,RHTO_00450,0.667,1,3,1.00/2,,,,,
YGR003W,RHTO_00052,1,1,4,1.00/4,,,,,
YDR477W,RHTO_04494,1,2,21,1.00/20,,,,,
YPR098C,RHTO_07346,1,1,1,,,,,,
YNL326C,RHTO_07441,1,1,1,,,,,,
YOR281C,RHTO_04417,1,2,3,1.00/2,,,,,
YGL084C,RHTO_03825,1,2,3,1.00/2,,,,,
YDR421W,RHTO_05752,1,1,1,,,,,,
YNL323W,RHTO_07087,1,2,3,1.00/2,,,,,
YPL239W,RHTO_05658,1,2,3,1.00/2,,,,,
YPL169C,RHTO_04729,1,2,3,1.00/2,,,,,
YLR050C,RHTO_02234,1,1,2,1.00/2,,,,,
YIL134W,RHTO_03510,1,2,13,1.00/12,,,,,
YPR041W,RHTO_01849,1,2,3,1.00/2,,,,,
YIL111W,RHTO_01854,1,2,3,1.00/2,,,,,
YIL052C,RHTO0S_03e09846g,1,2,3,1.00/2,,,,,
YFR014C,RHTO_01388,0.778,2,9,0.75/8,,,,,
YBR141C,RHTO_02220,1,2,3,1.00/2,,,,,
YKR103W,RHTO_05437,1,1,10,1.00/10,,,,,
YMR223W,RHTO_01676,1,1,10,1.00/10,,,,,
YDR069C,RHTO_05822,1,1,8,1.00/8,,,,,
YCR087C-A,RHTO_01641,1,1,1,,,,,,
YJR040W,RHTO_05428,1,2,5,1.00/4,,,,,
YHR112C,RHTO_05589,1,2,5,1.00/4,,,,,
YGR129W,RHTO_03107,1,1,2,1.00/2,,,,,
YJR033C,RHTO_00951,1,1,1,,,,,,
YLR439W,RHTO_07640,1,1,1,,,,,,
YDL207W,RHTO_01416,1,2,3,1.00/2,,,,,
YHR070W,RHTO_04527,1,2,3,1.00/2,,,,,
YDL155W,RHTO_07477,1,1,4,1.00/4,,,,,
YNL070W,RHTO_05285,1,1,1,,,,,,
YEL034W,RHTO_03373,1,2,3,1.00/2,,,,,
YNR003C,RHTO_06655,1,1,1,,,,,,
YJR098C,RHTO_03339,1,1,1,,,,,,
YDR252W,RHTO_01402,1,2,3,1.00/2,,,,,
YBR031W,RHTO_07868,0.667,1,3,1.00/2,,,,,
YDR050C,RHTO_01329,1,1,2,1.00/2,,,,,
YGL221C,RHTO_03643,1,2,3,1.00/2,,,,,
YGR276C,RHTO_07371,1,2,5,1.00/4,,,,,
YLL015W,RHTO_06288,0.647,2,17,0.62/16,,,,,
YDR517W,RHTO_04343,1,2,3,1.00/2,,,,,
YKL179C,RHTO_06198,1,1,1,,,,,,
YER140W,RHTO_03382,1,2,3,1.00/2,,,,,
YBL036C,RHTO_04810,1,2,3,1.00/2,,,,,
YJL109C,RHTO_03374,0.667,1,3,1.00/2,,,,,
YMR288W,RHTO_03563,0.667,1,3,1.00/2,,,,,
YNL137C,RHTO_06882,1,2,3,1.00/2,,,,,
YER025W,RHTO0S_09e06788g,1,2,5,1.00/4,,,,,
YMR276W,RHTO_00210,1,2,3,1.00/2,,,,,
YGR178C,RHTO_02782,1,1,1,,,,,,
YIR037W,RHTO_00225,1,2,3,1.00/2,,,,,
YGR199W,RHTO_07144,1,2,7,1.00/6,,,,,
YOL032W,RHTO_06798,1,1,1,,,,,,
YKL156W,RHTO0S_05e03422g,1,2,3,1.00/2,,,,,
YOR233W,RHTO_03632,1,2,3,1.00/2,,,,,
YJL207C,RHTO_03765,1,2,3,1.00/2,,,,,
YPR006C,RHTO_03507,1,2,3,1.00/2,,,,,
YDR173C,RHTO_06284,1,2,5,1.00/4,,,,,
YDR293C,RHTO_07856,1,2,3,1.00/2,,,,,
YNL233W,RHTO_07995,1,1,1,,,,,,
YGR261C,RHTO_01728,0.857,1,7,1.00/6,,,,,
YLR367W,RHTO0S_06e05842g,0.667,1,3,1.00/2,,,,,
YOL096C,RHTO_00813,1,2,3,1.00/2,,,,,
YDL120W,RHTO_01423,1,1,1,,,,,,
YER118C,RHTO_00337,0.667,1,3,1.00/2,,,,,
YFR002W,RHTO_06454,1,1,1,,,,,,
YIR034C,RHTO_03579,1,2,3,1.00/2,,,,,
YGR241C,RHTO_06280,1,1,1,,,,,,
YOR077W,RHTO_01484,1,2,3,1.00/2,,,,,
YCR048W,RHTO_00726,0.5,1,2,0.50/2,,,,,
YPL089C,RHTO_02226,1,1,1,,,,,,
YPL125W,RHTO_04691,1,1,1,,,,,,
YMR113W,RHTO_03440,1,2,3,1.00/2,,,,,
YHR179W,RHTO_06380,1,1,6,1.00/6,,,,,
YDR454C,RHTO_00759,0.667,1,3,1.00/2,,,,,
YMR013C,RHTO_00452,1,1,1,,,,,,
YER081W,RHTO_00279,0.636,2,11,0.60/10,,,,,
